시설명,주소,경도,위도
신한1차아파트경로당,경상남도 창원시 의창구 북면 천주로 1104(신한그린파크맨션),128.607835648,35.349265493
신한2차아파트경로당,경상남도 창원시 의창구 북면 천주로 1103(신한2차아파트),128.607261813,35.348821907
양지경로당,경상남도 창원시 의창구 북면 구룡로314번길 1,128.627069534,35.303949060
양촌경로당,경상남도 창원시 의창구 북면 운무로783번길 60,128.584891816,35.330926491
연동경로당,경상남도 창원시 의창구 북면 신촌본포로 186,128.626011351,35.346976832
온천남자경로당,경상남도 창원시 의창구 북면 천주로1128번길 8,128.608781955,35.350508570
온천부녀경로당,경상남도 창원시 의창구 북면 천주로1128번길 8,128.608781955,35.350508570
외감경로당,경상남도 창원시 의창구 북면 달천길52번길 28,128.599121406,35.289982816
외감부인경로당,경상남도 창원시 의창구 북면 달천길52번길 28,128.599121406,35.289982816
월계경로당,경상남도 창원시 의창구 북면 월계길9번길 87,128.639416495,35.347646388
월백경로당,경상남도 창원시 의창구 북면 백월로167번길 14,128.625807083,35.321361834
월백부녀경로당,경상남도 창원시 의창구 북면 백월로167번길 14,128.625807083,35.321361834
월촌경로당,경상남도 창원시 의창구 북면 백월로87번월촌길 54,128.620570218,35.323209178
중리경로당,경상남도 창원시 의창구 북면 단내로 701-14,128.593186501,35.341033536
중방경로당,경상남도 창원시 의창구 북면 중방길 3-22,128.592172141,35.296793145
중촌경로당,경상남도 창원시 의창구 북면 하천로86번길 22-1,128.603753474,35.365740314
지개경로당,경상남도 창원시 의창구 북면 구룡로38번길 39,128.617357487,35.284627953
천수림아파트경로당,"경상남도 창원시 의창구 북면 감계로 222, 103동 지하1층 (천수림)",128.587507503,35.301786270
청우아파트경로당,경상남도 창원시 의창구 북면 천주로1083번길 10-1,128.607183928,35.348051573
초소경로당,경상남도 창원시 의창구 북면 외산로 207,128.594624188,35.378173171
춘광1차아파트경로당,경상남도 창원시 의창구 북면 신촌본포로 14(춘광아파트),128.609684582,35.347287029
춘광2차아파트경로당,경상남도 창원시 의창구 북면 신촌본포로 12-13(춘광아파트),128.608998032,35.347094115
춘광마을경로당,경상남도 창원시 의창구 북면 신촌본포로 28,128.610018573,35.346879871
하천(대촌)경로당,경상남도 창원시 의창구 북면 하천로 129,128.603626979,35.368073472
현도경로당,경상남도 창원시 의창구 북면 외산로117번길 9,128.592278349,35.372914392
현천노인당,경상남도 창원시 의창구 북면 단내로591번길 8-10,128.583140647,35.344592089
화천경로당,경상남도 창원시 의창구 북면 천주로480번길 10-3,128.604402888,35.300411780
화천부녀경로당,경상남도 창원시 의창구 북면 천주로480번길 10-3,128.604402888,35.300411780
신전경로당,경상남도 창원시 의창구 대산면 갈전로 17,128.673670467,35.366947590
상리경로당,경상남도 창원시 의창구 대산면 갈전로 67-13,128.678353268,35.366551730
갈전경로당,경상남도 창원시 의창구 대산면 죽송로119번길 7-16,128.682229798,35.359491453
갈전부인경로당,경상남도 창원시 의창구 대산면 대산북로385번길 16,128.680994442,35.364138185
평리경로당,경상남도 창원시 의창구 대산면 대산북로385번길 18-3,128.680716614,35.364483973
송정경로당,경상남도 창원시 의창구 대산면 죽송로 119번길 10,128.682694574,35.359680131
유목경로당,경상남도 창원시 의창구 대산면 갈전로90번길 16 ,128.680979438,35.365327069
일동경로당,경상남도 창원시 의창구 대산면 갈전로119번길 10 -1,128.684109426,35.368907167
일동부인경로당,경상남도 창원시 의창구 대산면 갈전로119번길 3-19,128.683046193,35.368816340
구산경로당,경상남도 창원시 의창구 대산면 대산북로524번길 97-10,128.694495632,35.358374537
당리경로당,경상남도 창원시 의창구 대산면 대산북로485번길 23,128.690917293,35.369257746
