city_name,city_code,routeid,routeno,routetp,startnodenm,endnodenm,startvehicletime,endvehicletime,intervaltime,intervalsattime,intervalsuntime
사천시,38060,SAB32,201-1,간선버스,사천터미널,금곡마을회관,,,,,
사천시,38060,SAB33,220,간선버스,사천터미널,객방종점,,,,,
사천시,38060,SAB34,221,간선버스,사천터미널,객방종점,,,,,
사천시,38060,SAB35,230,간선버스,사천터미널,진사주공,,,,,
사천시,38060,SAB36,230-1,간선버스,사천터미널,푸르지오아파트,,,,,
사천시,38060,SAB40,310,간선버스,곤양터미널,사천터미널,,,,,
사천시,38060,SAB41,311,간선버스,곤양터미널,사천터미널,,,,,
사천시,38060,SAB42,260,간선버스,사천터미널,곤양시장,,,,,
사천시,38060,SAB43,192-1,간선버스,삼포교통차고지,임포,,,,,
사천시,38060,SAB44,160,간선버스,삼포교통차고지,곤양터미널,,,,,
사천시,38060,SAB45,380,간선버스,곤양터미널,하봉(비토),,,,,
사천시,38060,SAB46,161,간선버스,삼포교통차고지,곤양터미널,,,,,
사천시,38060,SAB47,370,간선버스,곤양터미널,고월,,,,,
사천시,38060,SAB48,316,간선버스,안도,사천터미널,,,,,
사천시,38060,SAB49,206,간선버스,사천터미널,금곡마을회관,,,,,
사천시,38060,SAB50,312,간선버스,곤양터미널,사천터미널,,,,,
사천시,38060,SAB51,266,간선버스,사천터미널,갑사,,,,,
사천시,38060,SAB52,113,간선버스,삼포교통차고지,사천터미널,,,,,
사천시,38060,SAB53,104,간선버스,삼포교통차고지,실안,,,,,
사천시,38060,SAB54,105,간선버스,삼포교통차고지,광포,,,,,
사천시,38060,SAB55,106,간선버스,삼포교통차고지,늑도,,,,,
사천시,38060,SAB56,145,간선버스,삼포교통차고지,구월,,,,,
사천시,38060,SAB57,209,간선버스,사천터미널,금곡마을회관,,,,,
사천시,38060,SAB58,229,간선버스,객방종점,삼천포우체국,,,,,
사천시,38060,SAB59,209,간선버스,삼포교통차고지,금곡마을회관,,,,,
사천시,38060,SAB60,229,간선버스,삼포교통차고지,객방종점,,,,,
사천시,38060,SAB61,103,간선버스,삼포교통차고지,용두,,,,,
사천시,38060,SAB62,222,간선버스,사천터미널,하가곡,,,,,
사천시,38060,SAB63,223,간선버스,사천터미널,용산,,,,,
사천시,38060,SAB64,223,간선버스,삼포교통차고지,용산,,,,,
사천시,38060,SAB65,228,간선버스,사천터미널,객방종점,,,,,
사천시,38060,SAB66,363,간선버스,곤양터미널,구포마을,,,,,
사천시,38060,SAB67,500,간선버스,사천터미널(소림사),사천터미널,,,,,
사천시,38060,SAB68,501,간선버스,사천터미널(소림사),사천터미널,,,,,
김해시,38070,GHB1,8,지선버스,삼계기점,동래역,0500,2200,,,
김해시,38070,GHB2,220,급행버스,풍유동차고지,하단역,0600,2120,,,
김해시,38070,GHB3,16,지선버스,중흥에코시티후문,주호,0600,2115,,,
김해시,38070,GHB4,8-1,지선버스,삼계기점,덕천교차로,0520,2200,,,
김해시,38070,GHB5,1,지선버스,삼계기점,불암역,0500,2216,,,
김해시,38070,GHB6,1-1,지선버스,삼계기점,불암역,0510,2230,,,
김해시,38070,GHB7,58,지선버스,삼계기점,창원대학교종점,0510,2030,,,
김해시,38070,GHB8,59,지선버스,삼계기점,창원대학교종점,0525,2100,,,
김해시,38070,GHB9,2,지선버스,외동차고지(종점),어방동,0530,2215,,,
김해시,38070,GHB10,24,지선버스,롯데아울렛(기점),세영리첼정문,0600,2237,,,
김해시,38070,GHB11,30-1,지선버스,외동차고지(종점),옥천소류지,0630,2210,,,
김해시,38070,GHB12,21,지선버스,외동차고지(종점),율하시티프라디움,0500,2235,,,
김해시,38070,GHB13,25,지선버스,롯데아울렛(기점),롯데워터파크,0535,2245,,,
김해시,38070,GHB14,23,지선버스,롯데아울렛(기점),수가마을회관,0600,2205,,,
