시설구분,시설명,주소,경도,위도
생활편익시설,신방 부인 경로당 ,경상남도 창원시 의창구 동읍로 112번길 1-5 ,128.680419039,35.286136987
생활편익시설,신안APT 경로당 ,경상남도 창원시 의창구 동읍 의창구 동읍로 13-1 ,128.684073541,35.278224156
생활편익시설,양교경로당 ,경상남도 창원시 의창구 동읍 의창구 동읍로 968-2 ,128.667781983,35.342788913
생활편익시설,외단경로당 ,경상남도 창원시 의창구 동읍 자여로 115번길 84 ,128.710890471,35.270541721
생활편익시설,용강 경로당 ,경상남도 창원시 의창구 동읍의창대로 421번길 43 ,,
생활편익시설,용산 경로당 ,경상남도 창원시 의창구 동읍 죽동길 53 ,128.676142146,35.330859073
생활편익시설,용산부인경로당 ,경상남도 창원시 의창구 동읍 죽동길 53 ,128.676142146,35.330859073
생활편익시설,용암 경로당 ,경상남도 창원시 의창구 동읍의창대로 491번길 57-3 ,,
생활편익시설,용연 경로당 ,경상남도 창원시 의창구 동읍 노연로 224-12 ,128.670135268,35.354438162
생활편익시설,용잠1구 경로당 ,경상남도 창원시 의창구 동읍 용잠로 42-12 ,128.688140128,35.279440005
생활편익시설,용잠1구여성경로당,경상남도 창원시 의창구 동읍 용잠로 42-11,128.688173804,35.27932636
생활편익시설,용잠2구 경로당 ,경상남도 창원시 의창구 동읍 의창대로 900번길 9-4 ,128.689439879,35.278179647
생활편익시설,용잠3구 경로당 ,경상남도 창원시 의창구 동읍 의창구 동읍로 16-12 ,128.685431069,35.279050544
생활편익시설,용잠6구경로당 ,경상남도 창원시 의창구 동읍 의창대로 915번길 17-2 ,128.69035133,35.280758651
생활편익시설,용잠본동경로당 ,경상남도 창원시 의창구 동읍 의창구 동읍로 83번길 33-3 ,128.679159616,35.282957637
생활편익시설,용잠본동부인경로당 ,경상남도 창원시 의창구 동읍 의창구 동읍로 83번길 33-3 ,128.679159616,35.282957637
생활편익시설,용전경로당 ,경상남도 창원시 의창구 동읍 용남길 85 ,128.656521895,35.276769908
생활편익시설,용정1구 경로당 ,경상남도 창원시 의창구 동읍 자여로 100 ,128.703194298,35.274987427
생활편익시설,용정2구 경로당 ,경상남도 창원시 의창구 동읍 용정길 46번길 49-1 ,128.705502855,35.274780871
