rigeon1,nodeid1,routeid1
38010,CWB379000409,"['CWB379000010', 'CWB379000020', 'CWB379000070', 'CWB379000150', 'CWB379000190', 'CWB379000200', 'CWB379000210', 'CWB379000230', 'CWB379000240', 'CWB379000270', 'CWB379000360', 'CWB379000400', 'CWB379000410', 'CWB379000420', 'CWB379000440', 'CWB379000450', 'CWB379000460', 'CWB379000641', 'CWB379000650', 'CWB379000658', 'CWB379000659']"
38010,CWB379000382,"['CWB379000010', 'CWB379000020', 'CWB379000070', 'CWB379000190', 'CWB379000360', 'CWB379000460', 'CWB379000641', 'CWB379000650', 'CWB379000658', 'CWB379000659', 'CWB379001000', 'CWB379001020', 'CWB379001130', 'CWB379001220', 'CWB379002130', 'CWB379002150', 'CWB379007100', 'CWB379050000']"
38010,CWB379000365,"['CWB379000010', 'CWB379000020', 'CWB379000070', 'CWB379000360', 'CWB379000460', 'CWB379000641', 'CWB379000650', 'CWB379000658', 'CWB379000659', 'CWB379001000', 'CWB379050000']"
38010,CWB379000367,"['CWB379000010', 'CWB379000020', 'CWB379000070', 'CWB379000360', 'CWB379000400', 'CWB379000410', 'CWB379000420', 'CWB379000440', 'CWB379000450', 'CWB379000460', 'CWB379000490', 'CWB379000641', 'CWB379000650', 'CWB379000658', 'CWB379000659', 'CWB379001000', 'CWB379001050', 'CWB379002120', 'CWB379050000']"
38010,CWB379000369,"['CWB379000010', 'CWB379000020', 'CWB379000070', 'CWB379000360', 'CWB379000400', 'CWB379000410', 'CWB379000420', 'CWB379000440', 'CWB379000450', 'CWB379000460', 'CWB379000490', 'CWB379000641', 'CWB379000650', 'CWB379000658', 'CWB379000659', 'CWB379001000', 'CWB379001050', 'CWB379002120', 'CWB379050000', 'CWB379060000']"
38010,CWB379000370,"['CWB379000010', 'CWB379000020', 'CWB379000070', 'CWB379000360', 'CWB379000400', 'CWB379000410', 'CWB379000420', 'CWB379000440', 'CWB379000450', 'CWB379000460', 'CWB379000490', 'CWB379000641', 'CWB379000650', 'CWB379000658', 'CWB379000659', 'CWB379001000', 'CWB379001050', 'CWB379002120', 'CWB379050000']"
38010,CWB379000362,"['CWB379000010', 'CWB379000020', 'CWB379000070', 'CWB379000300', 'CWB379000310', 'CWB379000320', 'CWB379000340', 'CWB379000350', 'CWB379000360', 'CWB379000400', 'CWB379000410', 'CWB379000420', 'CWB379000440', 'CWB379000450', 'CWB379000460', 'CWB379000490']"
38010,CWB379000319,"['CWB379000010', 'CWB379000020', 'CWB379000070', 'CWB379000300', 'CWB379000310', 'CWB379000320', 'CWB379000340', 'CWB379000350', 'CWB379000360', 'CWB379000400', 'CWB379000410', 'CWB379000420', 'CWB379000440', 'CWB379000450', 'CWB379000490']"
38010,CWB379000318,"['CWB379000010', 'CWB379000020', 'CWB379000070', 'CWB379000300', 'CWB379000310', 'CWB379000320', 'CWB379000340', 'CWB379000350', 'CWB379000360', 'CWB379000400', 'CWB379000410', 'CWB379000420', 'CWB379000440', 'CWB379000450', 'CWB379000490']"
38010,CWB379000315,"['CWB379000010', 'CWB379000020', 'CWB379000070', 'CWB379000300', 'CWB379000310', 'CWB379000320', 'CWB379000340', 'CWB379000350', 'CWB379000360', 'CWB379000400', 'CWB379000410', 'CWB379000420', 'CWB379000440', 'CWB379000450', 'CWB379000490']"
38010,CWB379000304,"['CWB379000010', 'CWB379000020', 'CWB379000070', 'CWB379000300', 'CWB379000310', 'CWB379000320', 'CWB379000340', 'CWB379000350', 'CWB379000360', 'CWB379000400', 'CWB379000410', 'CWB379000420', 'CWB379000440', 'CWB379000450', 'CWB379000490']"
38010,CWB379002382,"['CWB379000010', 'CWB379000020', 'CWB379000300', 'CWB379000310', 'CWB379000320', 'CWB379000330', 'CWB379000360', 'CWB379000400', 'CWB379000410', 'CWB379000420', 'CWB379000490', 'CWB379030000']"
38010,CWB379000279,"['CWB379000010', 'CWB379000020', 'CWB379000300', 'CWB379000310', 'CWB379000320', 'CWB379000330', 'CWB379000360', 'CWB379000370', 'CWB379000400', 'CWB379000410', 'CWB379000420', 'CWB379000490', 'CWB379030000']"
38010,CWB379000269,"['CWB379000010', 'CWB379000020', 'CWB379000300', 'CWB379000310', 'CWB379000320', 'CWB379000330', 'CWB379000360', 'CWB379000370', 'CWB379000400', 'CWB379000410', 'CWB379000420', 'CWB379000490', 'CWB379030000']"
38010,CWB379000252,"['CWB379000010', 'CWB379000020', 'CWB379000300', 'CWB379000310', 'CWB379000320', 'CWB379000330', 'CWB379000360', 'CWB379000370', 'CWB379000400', 'CWB379000410', 'CWB379000420', 'CWB379000490', 'CWB379030000']"
38010,CWB379000248,"['CWB379000010', 'CWB379000020', 'CWB379000300', 'CWB379000310', 'CWB379000320', 'CWB379000330', 'CWB379000360', 'CWB379000370', 'CWB379000400', 'CWB379000410', 'CWB379000420', 'CWB379000490', 'CWB379030000']"
38010,CWB379000241,"['CWB379000010', 'CWB379000020', 'CWB379000300', 'CWB379000310', 'CWB379000320', 'CWB379000330', 'CWB379000360', 'CWB379000370', 'CWB379000400', 'CWB379000410', 'CWB379000420', 'CWB379000490', 'CWB379030000']"
38010,CWB379003378,"['CWB379000010', 'CWB379000020', 'CWB379000370', 'CWB379000420', 'CWB379030000']"
38010,CWB379003114,"['CWB379000010', 'CWB379000020', 'CWB379000370', 'CWB379000420', 'CWB379030000']"
38010,CWB379000229,"['CWB379000010', 'CWB379000020', 'CWB379000370', 'CWB379000420', 'CWB379030000']"
38010,CWB379000221,"['CWB379000010', 'CWB379000020', 'CWB379000370', 'CWB379000420', 'CWB379030000']"
38010,CWB379003014,"['CWB379000010', 'CWB379000020', 'CWB379000370', 'CWB379000420', 'CWB379030000']"
38010,CWB379000212,"['CWB379000010', 'CWB379000020', 'CWB379000370', 'CWB379000420', 'CWB379030000']"
