gid,lbl,val,point,경도,위도,geometry
라라534595,8.0,8.0,POINT (1053450 1659550),128.08523671665412,34.929353835866294,POINT (1053450.0000000012 1659550.0000000014)
라라521632,8.0,8.0,POINT (1052150 1663250),128.07123469948783,34.96278472867689,POINT (1052150.0000000005 1663249.9999999998)
라라522594,41.0,41.0,POINT (1052250 1659450),128.07209196051997,34.92851470032486,POINT (1052249.9999999993 1659450)
라라526603,8.0,8.0,POINT (1052650 1660350),128.0765281933401,34.93660937657078,POINT (1052650 1660350.0000000012)
라라432645,7.0,7.0,POINT (1043250 1664550),127.9738176521384,34.97492645055704,POINT (1043249.999999999 1664550.0000000005)
라라533616,6.0,6.0,POINT (1053350 1661650),128.08427612684903,34.94829493589659,POINT (1053350 1661650.0000000002)
라라558749,21.0,21.0,POINT (1055850 1674950),128.112547518312,35.06808511165308,POINT (1055849.9999999993 1674950.0000000002)
라라489699,6.0,6.0,POINT (1048950 1669950),128.0365784612015,35.023358801017864,POINT (1048950.0000000002 1669949.9999999998)
라라497663,10.0,10.0,POINT (1049750 1666350),128.04513213416138,34.99085843436007,POINT (1049749.9999999998 1666349.999999999)
라라524725,15.0,15.0,POINT (1052450 1672550),128.07510721116603,35.046627138244126,POINT (1052450 1672550.0000000002)
라라546599,18.0,18.0,POINT (1054650 1659950),128.09840136330106,34.93289666154676,POINT (1054650.0000000012 1659950.0000000002)
라라527598,14.0,14.0,POINT (1052750 1659850),128.07759155862354,34.932095635608185,POINT (1052749.9999999995 1659849.9999999995)
라라538771,18.0,18.0,POINT (1053850 1677150),128.0907560942968,35.08803096267658,POINT (1053850.000000001 1677149.9999999998)
라라544764,11.0,11.0,POINT (1054450 1676450),128.09729200491023,35.08168694106725,POINT (1054449.9999999993 1676450)
라라500716,6.0,6.0,POINT (1050050 1671650),128.04873836423482,35.03863375779692,POINT (1050049.9999999998 1671649.9999999998)
라라533756,39.0,39.0,POINT (1053350 1675650),128.08517455722932,35.07453228732222,POINT (1053350.0000000012 1675650)
라라529597,28.0,28.0,POINT (1052950 1659750),128.0797750356752,34.93118349751712,POINT (1052949.9999999998 1659749.999999999)
라라515639,146.0,146.0,POINT (1051550 1663950),128.06470608196136,34.96912739880846,POINT (1051550.0000000002 1663950.0000000005)
라라537794,21.0,21.0,POINT (1053750 1679450),128.0898084500935,35.108774978969606,POINT (1053749.9999999993 1679450.0000000005)
라라453831,6.0,6.0,POINT (1045350 1683150),127.99784009111488,35.14255095818638,POINT (1045349.9999999995 1683150.0000000005)
라라535620,10.0,10.0,POINT (1053550 1662050),128.08649206410976,34.951891197953174,POINT (1053549.9999999995 1662049.999999999)
라라534757,37.0,37.0,POINT (1053450 1675750),128.08627781530535,35.07542867588909,POINT (1053450.000000001 1675750)
라라517597,45.0,45.0,POINT (1051750 1659750),128.06663623482393,34.93124548384269,POINT (1051750.0000000026 1659749.9999999995)
라라544765,10.0,10.0,POINT (1054450 1676550),128.09729857742647,35.082588623857625,POINT (1054450.0000000002 1676549.9999999998)
라라542599,7.0,7.0,POINT (1054250 1659950),128.09402169104138,34.93291815381328,POINT (1054250.0000000012 1659950.000000001)
라라567607,7.0,7.0,POINT (1056750 1660750),128.12144897453078,34.939994840710504,POINT (1056749.999999999 1660750)
라라396815,6.0,6.0,POINT (1039650 1681550),127.93519196784194,35.12836470200894,POINT (1039650.0000000006 1681550.000000001)
라라521594,51.0,51.0,POINT (1052150 1659450),128.07099709596392,34.92851985053829,POINT (1052150.0000000005 1659450.0000000007)
라라536761,74.0,74.0,POINT (1053650 1676150),128.08849735319433,35.079024791455375,POINT (1053650 1676150.0000000002)
라라537598,16.0,16.0,POINT (1053750 1659850),128.0885406538473,34.932043090661125,POINT (1053750.000000001 1659850.0000000016)
라라568695,8.0,8.0,POINT (1056850 1669550),128.12314481496492,35.01933828443358,POINT (1056849.9999999998 1669550.000000001)
라라544766,22.0,22.0,POINT (1054450 1676650),128.0973051502346,35.0834903065126,POINT (1054449.9999999998 1676649.9999999995)
라라529610,16.0,16.0,POINT (1052950 1661050),128.07985753298726,34.94290569137838,POINT (1052950.000000001 1661050.000000001)
라라536766,13.0,13.0,POINT (1053650 1676650),128.08852973159915,35.083533213219454,POINT (1053650.0000000005 1676650.000000001)
라라543784,7.0,7.0,POINT (1054350 1678450),128.09632636706715,35.099725972440865,POINT (1054350.0000000005 1678450.0000000005)
라라421737,18.0,18.0,POINT (1042150 1673750),127.96223372238371,35.05793040544906,POINT (1042149.9999999992 1673750.000000001)
라라556750,24.0,24.0,POINT (1055650 1675050),128.11036079671305,35.06899785204159,POINT (1055650.000000001 1675049.9999999993)
라라584773,7.0,7.0,POINT (1058450 1677350),128.14123135533396,35.089577971192384,POINT (1058450 1677350.0000000002)
라라514682,17.0,17.0,POINT (1051450 1668250),128.06387649499086,35.00790567768308,POINT (1051450.0000000002 1668249.9999999995)
라라537599,54.0,54.0,POINT (1053750 1659950),128.0885470942243,34.932944797153155,POINT (1053750.0000000012 1659950.000000001)
라라533615,23.0,23.0,POINT (1053350 1661550),128.0842697295628,34.947393230997186,POINT (1053350 1661550.0000000012)
라라520600,36.0,36.0,POINT (1052050 1660050),128.0699396489439,34.93393524879885,POINT (1052050.0000000005 1660050)
라라405758,6.0,6.0,POINT (1040550 1675850),127.94479067789888,35.076931838659405,POINT (1040550.0000000022 1675850)
라라536765,20.0,20.0,POINT (1053650 1676550),128.08852325534295,35.08263152913739,POINT (1053649.9999999998 1676549.9999999998)
라라538753,13.0,13.0,POINT (1053850 1675350),128.09063910538418,35.07180064705691,POINT (1053850.0000000016 1675350.0000000005)
라라556746,13.0,13.0,POINT (1055650 1674650),128.11033394705177,35.06539112066156,POINT (1055650.0000000007 1674649.9999999998)
라라512686,25.0,25.0,POINT (1051250 1668650),128.0617093059539,35.011522637182466,POINT (1051250.000000001 1668650.0000000005)
라라577798,11.0,11.0,POINT (1057750 1679850),128.13372678957924,35.11216018246572,POINT (1057749.999999999 1679849.9999999995)
라라516756,16.0,16.0,POINT (1051650 1675650),128.06652876880253,35.07462082031698,POINT (1051650.0000000019 1675650)
라라513654,8.0,8.0,POINT (1051350 1665450),128.06260775947507,34.98266312883771,POINT (1051350 1665450)
라라539771,44.0,44.0,POINT (1053950 1677150),128.0918530824148,35.08802561333078,POINT (1053949.9999999974 1677149.9999999998)
라라545771,15.0,15.0,POINT (1054550 1677150),128.0984350050285,35.087993308872306,POINT (1054549.9999999967 1677149.999999999)
라라467678,7.0,7.0,POINT (1046750 1667850),128.01234534418285,35.00452720451279,POINT (1046750.0000000002 1667850.0000000007)
라라475713,6.0,6.0,POINT (1047550 1671350),128.02131270896504,35.0360495144449,POINT (1047549.9999999991 1671350.0000000002)
라라534765,9.0,9.0,POINT (1053450 1676550),128.0863294219351,35.082642156246585,POINT (1053450.000000001 1676550.0000000005)
라라543602,8.0,8.0,POINT (1054350 1660250),128.09513614804396,34.93561791101198,POINT (1054349.999999999 1660249.9999999998)
라라381750,9.0,9.0,POINT (1038150 1675050),127.9184290315762,35.0698118562682,POINT (1038149.9999999997 1675050)
라라538596,33.0,33.0,POINT (1053850 1659650),128.0896226579512,34.93023436886725,POINT (1053849.9999999993 1659649.9999999998)
라라515740,31.0,31.0,POINT (1051550 1674050),128.06533246769914,35.060198897352755,POINT (1051550.0000000005 1674049.9999999998)
라라547593,9.0,9.0,POINT (1054750 1659350),128.09945692396133,34.927481033538875,POINT (1054749.999999999 1659350)
라라555749,11.0,11.0,POINT (1055550 1674950),128.10925736617233,35.06810168339962,POINT (1055550.0000000007 1674950.0000000002)
라라538597,7.0,7.0,POINT (1053850 1659750),128.0896291097349,34.9311360754526,POINT (1053850.000000001 1659749.999999999)
라라536768,25.0,25.0,POINT (1053650 1676850),128.0885426849745,35.08533658097743,POINT (1053650.000000001 1676850)
라라526565,20.0,20.0,POINT (1052650 1656550),128.07628862093955,34.90234438232483,POINT (1052650.000000002 1656549.999999999)
라라537602,8.0,8.0,POINT (1053750 1660250),128.08856641707175,34.93564991581852,POINT (1053749.999999998 1660250.0000000005)
라라528597,37.0,37.0,POINT (1052850 1659750),128.07868013714145,34.93118871730643,POINT (1052850.0000000007 1659749.9999999995)
라라433817,22.0,22.0,POINT (1043350 1681750),127.9758118650068,35.13001546978273,POINT (1043349.9999999995 1681750.0000000007)
라라580678,7.0,7.0,POINT (1058050 1667850),128.1361788479622,35.003941364443165,POINT (1058049.9999999998 1667849.9999999993)
라라541743,6.0,6.0,POINT (1054150 1674350),128.09386410201745,35.062767723255234,POINT (1054150.0000000005 1674350.0000000002)
라라416734,6.0,6.0,POINT (1041650 1673450),127.95673561501034,35.05524605355365,POINT (1041649.9999999991 1673449.9999999998)
라라517758,14.0,14.0,POINT (1051750 1675850),128.06763807129502,35.0764190689133,POINT (1051749.9999999995 1675849.999999999)
라라573767,6.0,6.0,POINT (1057350 1676750),128.12912280726508,35.0842311240964,POINT (1057350.0000000012 1676750.0000000002)
라라529599,11.0,11.0,POINT (1052950 1659950),128.079787724469,34.93298691344338,POINT (1052949.999999999 1659949.9999999995)
라라539598,34.0,34.0,POINT (1053950 1659850),128.0907304694764,34.9320324632785,POINT (1053950.0000000007 1659850.0000000002)
라라541764,23.0,23.0,POINT (1054150 1676450),128.0940012975088,35.08170310441744,POINT (1054149.9999999988 1676450.0000000005)
라라560737,10.0,10.0,POINT (1056050 1673750),128.11465984175555,35.057253820821714,POINT (1056050 1673750.0000000002)
라라555746,57.0,57.0,POINT (1055550 1674650),128.109237265551,35.06539663411115,POINT (1055550.0000000007 1674649.9999999998)
라라539765,10.0,10.0,POINT (1053950 1676550),128.0918140032962,35.08261551406543,POINT (1053949.9999999998 1676549.9999999998)
라라503691,15.0,15.0,POINT (1050350 1669150),128.05187583861732,35.016076385347354,POINT (1050350.0000000002 1669150.0000000007)
라라612709,7.0,7.0,POINT (1061250 1670950),128.17147452271757,35.031704575360465,POINT (1061249.9999999995 1670950.0000000007)
라라490760,6.0,6.0,POINT (1049050 1676050),128.0380352031692,35.07835745095309,POINT (1049049.9999999998 1676050.0000000005)
라라538763,43.0,43.0,POINT (1053850 1676350),128.0907040876779,35.08081749448313,POINT (1053850.0000000007 1676350.0000000007)
라라496777,10.0,10.0,POINT (1049650 1677750),128.04471831367815,35.09365681308731,POINT (1049650 1677749.9999999998)
라라510687,10.0,10.0,POINT (1051050 1668750),128.0595235035206,35.01243446068076,POINT (1051050.000000001 1668750.0000000005)
라라534729,10.0,10.0,POINT (1053450 1672950),128.0860973364323,35.05018142642236,POINT (1053450.0000000007 1672949.9999999998)
라라422737,11.0,11.0,POINT (1042250 1673750),127.96333033046837,35.05792622188839,POINT (1042250.0000000029 1673749.9999999995)
라라559737,13.0,13.0,POINT (1055950 1673750),128.11356326995332,35.05725937226732,POINT (1055950.0000000005 1673749.9999999995)
라라531729,9.0,9.0,POINT (1053150 1672950),128.08280788656373,35.050197273687,POINT (1053150.000000002 1672949.9999999998)
라라524606,10.0,10.0,POINT (1052450 1660650),128.07435710947797,34.93932487301735,POINT (1052449.999999999 1660650.0000000014)
라라536604,27.0,27.0,POINT (1053650 1660450),128.08748432026962,34.93745862753828,POINT (1053650.000000001 1660450.0000000002)
라라545724,6.0,6.0,POINT (1054550 1672450),128.09812576307223,35.04561411800081,POINT (1054550 1672450.0000000002)
라라527600,33.0,33.0,POINT (1052750 1660050),128.07760420006002,34.93389905195947,POINT (1052749.9999999998 1660050.0000000007)
라라515597,17.0,17.0,POINT (1051550 1659750),128.06444643080155,34.93125567677453,POINT (1051550.000000001 1659749.9999999995)
