시설명,정류장1,정류장2,정류장3,정류장4,정류장5,정류장6,정류장7,정류장8,정류장9,정류장10,total_idx
함양경찰서,0.017855391497752608,0.005539935838009662,0.026525234714883918,0.025627690397046713,0.0016093651415096182,0.012401820113388048,0.015124541415071073,0.0076515594206052725,0.007764770278781595,0.006459608639179458,0.12655991745622797
남해경찰서,0.012004555868511109,0.011824893864521164,0.01189456686180151,0.011668960777672663,0.01122429114868107,0.011062448034961316,0.011847007053503306,0.011673945023813078,0.007307131769106242,0.006606277837990589,0.10711407824056204
하동경찰서,0.005734317638251047,0.00498715296709577,0.004835658557670604,0.0048984887246360884,0.004508790051285219,0.004050031614915558,0.006773170322590402,0.0074848983560475615,,,0.04327250823249225
고성경찰서,0.04589039039122709,0.047398772263016385,0.044803092372711406,0.02776996653409487,0.02671458465374704,0.04627066179626901,,,,,0.23884746801106577
창녕경찰서,0.015486051038334163,0.019197267124048265,0.003333016408591791,0.00224465730472829,0.011926043401305972,0.014868738236078786,0.013599849679788369,0.016656062935667123,0.0008817949038665652,0.0012392327188653636,0.0994327137512747
합천경찰서,0.00025517663944649567,5.6306137637966575e-05,0.00021530922185689574,0.012404825374971595,0.0034962149604489006,0.0038456007382179996,,,,,0.020273433072579852
거창경찰서,0.0019086049966342577,0.0028345882725251377,0.0018820747894592183,0.002792804697284426,0.0068568111622734585,0.005551487159616501,0.006184941760429032,0.010390562722624744,0.01505851077726972,0.0010207439379060696,0.05448113027602256
밀양경찰서,0.0046084288111011605,0.004642092270642013,0.005138308470411125,0.0059108921229235395,0.0037003783033095652,3.0083012361000328e-06,0.0019541273812296706,0.0034363325498180724,0.0005102117809623681,0.0010654465977137791,0.030969226589347393
거제경찰서,0.0054965555739524665,0.008627887543391555,0.00787483850251927,0.007898594050613538,0.0044713340845167066,0.006912550268605419,0.0072864348711557695,0.007260447258073266,0.0037880848629372283,0.0038037847214833546,0.06342051173724857
사천경찰서,0.001031636900975015,0.001097361135527441,0.0009846459850470157,0.0008875178087722881,0.001766575780118759,0.0005650432535810479,0.0005130148926285895,0.01685295987632841,0.00026815503471141436,0.021496412194929867,0.045463322862619844
통영경찰서,0.11340107315033839,0.10881620702289906,0.0007240130581794651,0.0007153521420391305,0.0006526653174715357,0.09880735267787641,0.0006394283709500009,0.013270038510155251,0.032620363404156964,0.09326775298481543,0.46291424663888164
진해경찰서,0.003055034781082239,0.003062443880954998,0.0028096740736830786,0.0031010060781575615,0.0029367888435768673,0.0029939263564540903,0.0,0.0,0.002307511346772394,0.00014810468304968108,0.02041449004373091
양산경찰서,0.009738205387188337,0.009601162893110063,0.1478147688364015,0.01862734933701059,0.14798825547613226,0.018224187279644585,0.01602950173101262,0.015887109633622946,0.0076032158311541455,0.007426497264645825,0.39894025366992286
김해중부경찰서,0.004362289471018709,0.020778269910979176,0.02074052553347869,0.004046654340628626,0.009165444982527913,0.05474995418840749,0.0085292932661931,0.05483790480363426,0.008119185270899358,0.04852289098198798,0.2338524127497553
진주경찰서,0.21818283380163497,0.21779466097085207,0.27622766187756714,0.21177744536834558,0.18173533255100213,0.26129669834773644,0.23345209545325768,0.18188206399908396,0.11923938065073111,0.29085661727835993,2.192444790298571
