city_name,routeno,routetp,startnodenm,endnodenm,startvehicletime,endvehicletime,intervaltime,intervalsattime,intervalsuntime,usage,노선정류장수,노선거리(km),굴곡도,start,end,total_operating_time,interval_avg,num_bus,총인구수,노인(수),인구_대비_정류장수
창원시,77-1,지선버스,진동환승센터,시락정곡종점,740.0,2210.0,150.0,150.0,150.0,1975.0,78.0,49.1,4.4,460.0,1330.0,870.0,150.0,5,1003731.0,276574.0,12868.346153846154
창원시,64-1,지선버스,유니시티2단지,진동환승센터,750.0,1750.0,320.0,320.0,320.0,3891.0,196.0,102.4,2.6,470.0,1070.0,600.0,320.0,1,1003731.0,276574.0,5121.076530612245
창원시,65,지선버스,유니시티2단지,명주,610.0,2050.0,175.0,175.0,175.0,13856.0,130.0,73.5,1.4,370.0,1250.0,880.0,175.0,5,1003731.0,276574.0,7721.007692307692
창원시,65-2,지선버스,유니시티2단지,명주,1600.0,1650.0,145.0,145.0,145.0,11696.0,99.0,49.54012738853503,2.0,960.0,1010.0,50.0,145.0,0,1003731.0,276574.0,10138.69696969697
창원시,65-1,지선버스,유니시티2단지,로봇랜드(입구),920.0,1920.0,340.0,340.0,340.0,11696.0,154.0,88.7,1.4,560.0,1160.0,600.0,340.0,1,1003731.0,276574.0,6517.733766233766
창원시,70,지선버스,진동환승센터,창원역,527.0,2230.0,66.0,82.0,82.0,36068.0,89.0,49.2,1.3,327.0,1350.0,1023.0,70.57142857142857,14,1003731.0,276574.0,11277.876404494382
창원시,71,지선버스,진동면허시험장,창원역,533.0,2246.0,66.0,79.0,79.0,31100.0,95.0,52.4,1.4,333.0,1366.0,1033.0,69.71428571428571,14,1003731.0,276574.0,10565.589473684211
창원시,72,지선버스,마산역종점,대현종점.용광사,600.0,2140.0,170.0,170.0,170.0,10159.0,110.0,63.2,1.4,360.0,1300.0,940.0,170.0,5,1003731.0,276574.0,9124.827272727272
창원시,72-1,지선버스,진동환승센터,대현종점.용광사,720.0,2200.0,215.0,215.0,215.0,1960.0,63.0,31.7,2.2,440.0,1320.0,880.0,215.0,4,1003731.0,276574.0,15932.238095238095
창원시,73,지선버스,마산역종점,서북동마을,540.0,2125.0,125.0,125.0,125.0,12201.0,126.0,66.7,2.1,340.0,1285.0,945.0,125.0,7,1003731.0,276574.0,7966.119047619048
창원시,78,지선버스,마산역종점,선두종점,700.0,2205.0,190.0,190.0,190.0,5730.0,84.0,47.7,1.4,420.0,1325.0,905.0,190.0,4,1003731.0,276574.0,11949.17857142857
창원시,80,지선버스,진동환승센터,마산역종점,600.0,2248.0,72.0,90.0,90.0,29095.0,108.0,69.3,2.0,360.0,1368.0,1008.0,77.14285714285714,13,1003731.0,276574.0,9293.805555555555
창원시,100,간선버스,월영1차아파트,대방동종점,500.0,2300.0,24.0,20.0,20.0,253220.0,137.0,55.8,2.3,300.0,1380.0,1080.0,22.857142857142858,47,1003731.0,276574.0,7326.503649635037
창원시,101,간선버스,월영1차아파트,불모산종점,518.0,2259.0,20.0,27.0,29.0,131093.0,147.0,61.7,1.9,318.0,1379.0,1061.0,22.285714285714285,47,1003731.0,276574.0,6828.102040816327
창원시,102,간선버스,해운중학교종점,청솔아파트종점,525.0,2240.0,35.0,36.0,36.0,167730.0,153.0,60.7,2.4,325.0,1360.0,1035.0,35.285714285714285,29,1003731.0,276574.0,6560.333333333333
창원시,103,간선버스,성주사역 환승센터,가포고등학교,505.0,2300.0,15.0,18.0,20.0,335737.0,131.0,56.6,1.8,305.0,1380.0,1075.0,16.142857142857142,66,1003731.0,276574.0,7662.0687022900765
창원시,105,간선버스,덕동공영차고지,대방동종점,500.0,2249.0,33.0,22.0,27.0,220604.0,152.0,65.8,2.1,300.0,1369.0,1069.0,30.571428571428573,34,1003731.0,276574.0,6603.493421052632
창원시,106,간선버스,월영1차아파트,불모산종점,500.0,2246.0,36.0,47.0,47.0,115456.0,132.0,57.0,1.7,300.0,1366.0,1066.0,39.142857142857146,27,1003731.0,276574.0,7604.022727272727
창원시,107,간선버스,월영1차아파트,불모산종점,505.0,2300.0,38.0,35.0,35.0,103106.0,124.0,55.5,1.7,305.0,1380.0,1075.0,37.142857142857146,28,1003731.0,276574.0,8094.604838709677
창원시,108,간선버스,대방동종점,가포고등학교,505.0,2245.0,29.0,35.0,45.0,138892.0,117.0,52.6,1.6,305.0,1365.0,1060.0,32.142857142857146,32,1003731.0,276574.0,8578.897435897436
창원시,109,간선버스,경남대남부터미널종점,불모산종점,515.0,2300.0,20.0,29.0,36.0,168472.0,143.0,59.4,1.8,315.0,1380.0,1065.0,23.571428571428573,45,1003731.0,276574.0,7019.097902097902
창원시,110,간선버스,성주사역 환승센터,마산대학교종점,500.0,2229.0,40.0,33.0,51.0,89811.0,168.0,68.2,1.7,300.0,1349.0,1049.0,40.57142857142857,25,1003731.0,276574.0,5974.589285714285
창원시,111,간선버스,성주사역 환승센터,안계초등학교,513.0,2235.0,29.0,53.0,49.0,89207.0,161.0,66.2,1.6,313.0,1355.0,1042.0,35.285714285714285,29,1003731.0,276574.0,6234.3540372670805
창원시,113,간선버스,불모산종점,평성종점,515.0,2300.0,20.0,29.0,33.0,186661.0,139.0,61.7,1.5,315.0,1380.0,1065.0,23.142857142857142,46,1003731.0,276574.0,7221.086330935252
창원시,114,간선버스,안계초등학교,청솔아파트종점,515.0,2232.0,49.0,56.0,63.0,45694.0,154.0,69.6,1.8,315.0,1352.0,1037.0,52.0,19,1003731.0,276574.0,6517.733766233766
창원시,115,간선버스,청솔아파트종점,평성종점,512.0,2258.0,29.0,44.0,47.0,146843.0,135.0,61.8,1.8,312.0,1378.0,1066.0,33.714285714285715,31,1003731.0,276574.0,7435.044444444445
창원시,116,간선버스,마산대학교종점,불모산종점,525.0,2250.0,31.0,51.0,47.0,74133.0,145.0,66.7,1.4,325.0,1370.0,1045.0,36.142857142857146,28,1003731.0,276574.0,6922.2827586206895
창원시,122,간선버스,대방동성아파트,가포고등학교,510.0,2255.0,27.0,24.0,24.0,170594.0,146.0,55.5,1.8,310.0,1375.0,1065.0,26.142857142857142,40,1003731.0,276574.0,6874.869863013699
창원시,150,간선버스,인의동터미널,창원중앙역,550.0,2238.0,49.0,63.0,63.0,31407.0,118.0,54.4,2.6,350.0,1358.0,1008.0,53.0,19,1003731.0,276574.0,8506.194915254237
창원시,151,간선버스,행암입구,종합터미널,530.0,2255.0,27.0,36.0,36.0,96230.0,103.0,49.2,1.9,330.0,1375.0,1045.0,29.571428571428573,35,1003731.0,276574.0,9744.961165048544
창원시,152,간선버스,인의동터미널,창원대학교종점,600.0,2212.0,73.0,73.0,76.0,17683.0,81.0,37.8,1.8,360.0,1332.0,972.0,73.42857142857143,13,1003731.0,276574.0,12391.74074074074
창원시,155,간선버스,행암입구,태광주유소,540.0,2250.0,24.0,40.0,40.0,130050.0,106.0,48.1,1.4,340.0,1370.0,1030.0,28.571428571428573,36,1003731.0,276574.0,9469.16037735849
창원시,156,간선버스,녹수아파트,창원대학교종점,510.0,2210.0,29.0,42.0,42.0,57674.0,100.0,43.6,2.0,310.0,1330.0,1020.0,32.714285714285715,31,1003731.0,276574.0,10037.31
창원시,160,간선버스,인의동터미널,덕동공영차고지,515.0,2305.0,24.0,35.0,35.0,68111.0,107.0,53.7,2.2,315.0,1385.0,1070.0,27.142857142857142,39,1003731.0,276574.0,9380.663551401869
창원시,162,간선버스,인의동터미널,소계입구,520.0,2220.0,42.0,49.0,49.0,66663.0,86.0,38.7,1.6,320.0,1340.0,1020.0,44.0,23,1003731.0,276574.0,11671.290697674418
창원시,163,간선버스,덕동공영차고지,상리마을,520.0,2238.0,31.0,31.0,38.0,44488.0,122.0,60.7,2.1,320.0,1358.0,1038.0,32.0,32,1003731.0,276574.0,8227.303278688525
창원시,164,간선버스,경남대남부터미널종점,행암입구,530.0,2235.0,45.0,45.0,45.0,58382.0,119.0,53.2,1.9,330.0,1355.0,1025.0,45.0,22,1003731.0,276574.0,8434.714285714286
창원시,212,지선버스,불모산종점,소계종점,520.0,2220.0,51.0,51.0,51.0,42439.0,118.0,49.5,1.8,320.0,1340.0,1020.0,51.0,20,1003731.0,276574.0,8506.194915254237
창원시,213,지선버스,불모산종점,소계종점,500.0,2245.0,49.0,49.0,49.0,27270.0,117.0,53.5,1.9,300.0,1365.0,1065.0,49.0,21,1003731.0,276574.0,8578.897435897436
창원시,214,지선버스,불모산종점,웅남동주민운동장,510.0,2250.0,63.0,63.0,63.0,40587.0,125.0,53.2,1.8,310.0,1370.0,1060.0,63.0,16,1003731.0,276574.0,8029.848
창원시,215,지선버스,소계종점,창원경상대병원종점(215),540.0,2259.0,70.0,70.0,70.0,34752.0,111.0,45.6,1.9,340.0,1379.0,1039.0,70.0,14,1003731.0,276574.0,9042.621621621622
창원시,216,지선버스,불모산종점,석교종점,500.0,2200.0,51.0,60.0,60.0,19242.0,101.0,56.5,2.7,300.0,1320.0,1020.0,53.57142857142857,19,1003731.0,276574.0,9937.930693069307
창원시,219,지선버스,창원시청(가로변),창원시립상복공원,800.0,2130.0,310.0,310.0,310.0,458.0,20.0,11.2,1.4,480.0,1290.0,810.0,310.0,2,1003731.0,276574.0,50186.55
창원시,220,지선버스,창원중앙역,창원중앙역,540.0,2250.0,88.0,88.0,88.0,23808.0,49.0,18.8,2.4,340.0,1370.0,1030.0,88.0,11,1003731.0,276574.0,20484.30612244898
창원시,221,지선버스,창원중앙역,창원중앙역,525.0,2237.0,88.0,88.0,88.0,24930.0,48.0,18.8,1.6,325.0,1357.0,1032.0,88.0,11,1003731.0,276574.0,20911.0625
창원시,222,지선버스,창원중앙역,창원중앙역,700.0,2345.0,93.0,93.0,93.0,2361.0,18.0,8.4,1.5,420.0,1425.0,1005.0,93.0,10,1003731.0,276574.0,55762.833333333336
창원시,223,지선버스,반도유보라아파트,대방동종점,510.0,2215.0,64.0,64.0,64.0,5376.0,44.0,17.2,1.7,310.0,1335.0,1025.0,64.0,16,1003731.0,276574.0,22812.06818181818
