nodeid,정류장명,위도,경도,정보수집일,모바일단축번호,도시코드,도시명,관리도시명,geometry,weight
YSB4792,신원아침도시,35.41802,129.1642,2023-10-16,4792.0,38100,경상남도 양산시,양산,POINT (1151091.6917714246 1714858.3572704657),22371.0
YSB4793,증산역,35.30804,129.0092,2023-10-16,4793.0,38100,경상남도 양산시,양산,POINT (1137204.2104156008 1702433.9251371166),678004.0
YSB4794,증산역,35.3079,129.0095,2023-10-16,4794.0,38100,경상남도 양산시,양산,POINT (1137231.7225942393 1702418.8124599685),700648.0
YSB4795,대방노블랜드3차,35.31141,129.0039,2023-10-16,4795.0,38100,경상남도 양산시,양산,POINT (1136716.6682806993 1702800.3827125148),609205.0
YSB4796,대방노블랜드5차.8차,35.31315,129.0018,2023-10-16,4796.0,38100,경상남도 양산시,양산,POINT (1136522.8219688279 1702990.4789595236),609205.0
YSB4797,양우내안애2차.부영아파트,35.31579,128.9988,2023-10-16,4797.0,38100,경상남도 양산시,양산,POINT (1136245.6539164947 1703279.1644755986),329640.0
YSB4798,물금초등학교,35.31518,128.9898,2023-10-16,4798.0,38100,경상남도 양산시,양산,POINT (1135428.4808353523 1703199.1682187277),110567.75859375
YSB4799,물금초등학교,35.3152,128.9899,2023-10-16,4799.0,38100,경상남도 양산시,양산,POINT (1135437.5385477 1703201.5231929123),110567.75859375
YSB4800,양우내안애2차.부영아파트,35.31588,128.9982,2023-10-16,4800.0,38100,경상남도 양산시,양산,POINT (1136190.9569347703 1703288.321923051),340962.0
YSB4801,대방노블랜드2차.6차,35.31219,129.0024,2023-10-16,4801.0,38100,경상남도 양산시,양산,POINT (1136578.9841118557 1702884.8276851273),586561.0
YSB4802,대방노블랜드3차,35.30994,129.0051,2023-10-16,4802.0,38100,경상남도 양산시,양산,POINT (1136828.2425723132 1702638.9943660987),586561.0
YSB4803,서부마을,35.30909,128.9831,2023-10-16,4803.0,38100,경상남도 양산시,양산,POINT (1134829.488613292 1702514.5628907117),60662.0
YSB4804,신기마을,35.31909,128.992,2023-10-16,4804.0,38100,경상남도 양산시,양산,POINT (1135621.9542790423 1703635.8534359434),201990.0
YSB4806,물금읍행정복지센터,35.30992,128.9872,2023-10-16,4806.0,38100,경상남도 양산시,양산,POINT (1135200.8685470826 1702612.207748847),253242.0
YSB4807,LH아파트1단지,35.30848,128.9893,2023-10-16,4807.0,38100,경상남도 양산시,양산,POINT (1135394.1933377027 1702455.3580852826),411652.0
YSB4808,양우내안애5차.이지더원5차,35.31007,128.9897,2023-10-16,4808.0,38100,경상남도 양산시,양산,POINT (1135427.9097790008 1702632.2585720045),210446.0
YSB4809,이지더원2차.한양수자인,35.3125,128.9923,2023-10-16,4809.0,38100,경상남도 양산시,양산,POINT (1135660.2338693752 1702905.337097039),257634.0
YSB4810,물금중학교.대방노블랜드7차,35.31415,128.994,2023-10-16,4810.0,38100,경상남도 양산시,양산,POINT (1135812.028087475 1703090.6748184285),279816.0
YSB4811,가촌초등학교.부영아파트1차,35.31598,128.9959,2023-10-16,4811.0,38100,경상남도 양산시,양산,POINT (1135981.6965655012 1703296.254430931),279816.0
YSB4812,대방노블랜드7차입구,35.31849,128.9951,2023-10-16,4812.0,38100,경상남도 양산시,양산,POINT (1135904.7680614404 1703573.552562242),110567.75859375
YSB4813,LH아파트5단지,35.31128,128.9958,2023-10-16,4813.0,38100,경상남도 양산시,양산,POINT (1135980.4742952706 1702774.8185933968),458840.0
YSB4814,부영아파트2차.이지더원1차,35.31287,128.9977,2023-10-16,4814.0,38100,경상남도 양산시,양산,POINT (1136150.5477678515 1702953.7817110186),458840.0
YSB4815,대방노블랜드5차.8차,35.31406,129.0003,2023-10-16,4815.0,38100,경상남도 양산시,양산,POINT (1136384.9242425968 1703089.3456833018),586561.0
YSB4816,물금농협가촌지점,35.3167,129.0026,2023-10-16,4816.0,38100,경상남도 양산시,양산,POINT (1136589.5818279854 1703385.3287759693),274759.0
