시설명,total_idx,경도,위도,geometry,ADM_NM,ADM_CD,시군구명
하촌경로당,0.0012443415965832,128.72061316,34.850057991,POINT (1111588.7242520135 1651279.530564395),일운면,38090310,거제시
내촌경로당,0.0005299859764652,128.254496151,35.165526374,POINT (1068710.761909414 1685845.1094386321),진성면,38030340,진주시
내촌경로당,0.0005299859764652,127.988887532,35.165679796,POINT (1044521.8712145357 1685710.9549776283),대평면,38030440,진주시
내촌경로당,0.0005299859764652,128.94826149,35.576208001,POINT (1131227.7019031139 1732095.388446063),산내면,38080340,밀양시
내촌경로당,0.0005299859764652,128.02229627,35.80534508,POINT (1047188.9388474799 1756669.5405757308),가북면,38590410,거창군
신풍경로당,0.0001417274990154,127.99505333,35.200563357,POINT (1045064.1207652377 1689582.3522126493),대평면,38030440,진주시
자매경로당,0.0001548473839047,127.932931851,35.244861417,POINT (1039387.826646415 1694468.6685467348),수곡면,38030450,진주시
월계경로당,0.0014347798061672,128.639416495,35.347646388,POINT (1103534.2512952834 1706377.4471338345),북면,38111310,창원시 의창구
월계경로당,0.0014347798061672,127.931963871,35.235331549,POINT (1039304.3576236066 1693411.4067599191),수곡면,38030450,진주시
월계경로당,0.0014347798061672,128.44503382,35.570292921,POINT (1085634.5787873566 1730885.179772182),대합면,38530330,창녕군
월계경로당,0.0014347798061672,128.37451339,35.085712547,POINT (1079718.5494135697 1677083.0196765328),회화면,38540400,고성군
대우경로당,0.000107692098536,127.915333098,35.240511444,POINT (1037788.7131388132 1693979.4096463406),수곡면,38030450,진주시
대각경로당,0.0003302413256485,127.93241373,35.222782524,POINT (1039351.3494057569 1692019.879667921),수곡면,38030450,진주시
구태경로당,5.8804774591011295e-05,127.911119687,35.216401686,POINT (1037416.4246257428 1691304.009587376),수곡면,38030450,진주시
사방경로당,0.0,127.921232908,35.201690826,POINT (1038343.7603343158 1689676.4152986445),수곡면,38030450,진주시
금동경로당,0.0005770480723875,127.927751026,35.201553965,POINT (1038937.1570623685 1689663.771355654),수곡면,38030450,진주시
직금경로당,0.0004343625774572,127.923897642,35.191783452,POINT (1038591.0112543427 1688578.7105599383),수곡면,38030450,진주시
조계경로당,0.0007312072372053,127.898954788,35.196935749,POINT (1036317.9449398794 1689140.7062891857),수곡면,38030450,진주시
문정경로당,0.0005038199287562,127.927321395,35.179948207,POINT (1038908.3474813811 1687267.5086030196),수곡면,38030450,진주시
효동경로당,0.0005394393536643,127.933955388,35.188588708,POINT (1039508.2058421295 1688228.3615638802),수곡면,38030450,진주시
중전경로당,0.0005426174198487,127.953036727,35.194312496,POINT (1041242.5302050608 1688870.8838746315),수곡면,38030450,진주시
요산경로당,0.0011416643190515,127.938289759,35.194324516,POINT (1039900.0142799517 1688866.198271214),수곡면,38030450,진주시
효남경로당,0.0008430909029567,127.94409367,35.179929844,POINT (1040435.511216819 1687272.1632219565),수곡면,38030450,진주시
원내경로당,0.000795635110468,127.951761102,35.171091842,POINT (1041138.1014104745 1686295.1682569222),수곡면,38030450,진주시
원당경로당,0.0002381952255219,128.167403111,35.168484414,POINT (1060777.0068041575 1686116.475575142),문산읍,38030110,진주시
원당경로당,0.0002381952255219,128.263092976,35.173234137,POINT (1069487.1187099554 1686705.8927025637),일반성면,38030350,진주시
원당경로당,0.0002381952255219,127.954213284,35.167919493,POINT (1041363.0091808458 1685944.3701609608),수곡면,38030450,진주시
원당경로당,0.0002381952255219,128.921524833,35.603253126,POINT (1128761.5933776526 1735059.876035044),산내면,38080340,밀양시
원당경로당,0.0002381952255219,127.867882259,35.774895526,POINT (1033250.3970321914 1753228.9305860577),위천면,38590350,거창군
서촌경로당,0.0003526868793629,128.334976423,35.173794472,POINT (1076032.4421035005 1686820.625093286),이반성면,38030360,진주시
서촌경로당,0.0003526868793629,127.949878641,35.16850637,POINT (1040967.9770657691 1686007.6612497615),수곡면,38030450,진주시
서촌경로당,0.0003526868793629,128.421915284,35.243261858,POINT (1083877.7835758505 1694594.8237194815),함안면,38520310,함안군
