격자이름,total_idx,경도,위도,geometry,ADM_NM,ADM_CD,시군구명
마마243120,0.0,128.86930840725856,35.396404311259744,POINT (1124349.9999999998 1712050.0000000005),삼랑진읍,38080110,밀양시
마마115086,0.0001181708983822,128.7279242532389,35.367269399675074,POINT (1111549.9999999998 1708649.9999999995),하남읍,38080120,밀양시
마마248310,0.0009448286408579,128.8777328787604,35.56760993486534,POINT (1124849.9999999995 1731050.0000000014),산내면,38080340,밀양시
마마139277,7.678950357637023e-05,128.75701283648917,35.539176827921416,POINT (1113949.9999999993 1727750.0000000005),상동면,38080320,밀양시
마마311322,0.0,128.9474292744044,35.57761192110977,POINT (1131150.0000000042 1732250.000000001),산내면,38080340,밀양시
마마127082,0.0006842589684563,128.7410757089536,35.363528555329346,POINT (1112750.000000001 1708250.0000000007),하남읍,38080120,밀양시
마마229298,0.0006991537246414,128.8565891390299,35.55703082330779,POINT (1122949.9999999995 1729850.000000001),산내면,38080340,밀양시
마마076115,0.0003201442705333,128.68538441358777,35.39384129401361,POINT (1107650 1711550.000000001),초동면,38080370,밀양시
마마205332,0.0004464818373631,128.83062158021264,35.58797394330979,POINT (1120549.9999999998 1733249.9999999995),상동면,38080320,밀양시
마마215232,0.0007887443788978,128.8401560822837,35.497710042795944,POINT (1121549.9999999988 1723250),단장면,38080350,밀양시
마마110088,0.0,128.72244864197097,35.36912816328711,POINT (1111050.000000001 1708849.9999999993),하남읍,38080120,밀양시
마마070146,0.0011583808362631,128.6791858087268,35.42185218485499,POINT (1107050.0000000002 1714649.9999999995),초동면,38080370,밀양시
마마206300,9.914282619520336e-05,128.8312477064589,35.55911649491933,POINT (1120650.0000000002 1730049.999999999),상동면,38080320,밀양시
마마253158,0.0008940976538212,128.88090165877514,35.43053295935935,POINT (1125349.9999999995 1715849.9999999995),삼랑진읍,38080110,밀양시
마마049300,0.0001428707655557,128.6580484812813,35.56090472798646,POINT (1104950.000000001 1730050.0000000005),청도면,38080390,밀양시
