행정기관코드,시도_시군구_읍면동명,계,남자,여자,유아,초등학생,중학생,고등학생,20대,30대,40대,50대,노인
48270330,경상남도 밀양시 산외면,2766,1417,1349,35,45,38,31,113,120,214,483,1687
48270340,경상남도 밀양시 산내면,3724,1913,1811,38,65,56,41,149,126,267,667,2315
48270350,경상남도 밀양시 단장면,4278,2121,2157,40,51,34,42,162,218,293,714,2724
48270360,경상남도 밀양시 상남면,7763,3891,3872,213,288,143,114,457,490,898,1320,3840
48270370,경상남도 밀양시 초동면,3291,1650,1641,20,59,29,33,118,134,245,548,2105
48270380,경상남도 밀양시 무안면,4707,2366,2341,44,84,131,110,196,214,322,698,2908
48270390,경상남도 밀양시 청도면,1710,850,860,14,19,10,9,66,46,98,227,1221
48270510,경상남도 밀양시 내일동,2549,1252,1297,38,52,37,58,161,178,244,435,1346
48270520,경상남도 밀양시 내이동,17305,8636,8669,1014,938,460,425,1765,2364,2617,3032,4690
48270530,경상남도 밀양시 삼문동,19264,9230,10034,943,1425,777,656,1828,1653,3196,3440,5346
48270540,경상남도 밀양시 가곡동,7462,3505,3957,188,270,154,174,662,621,894,1285,3214
48270550,경상남도 밀양시 교동,5358,2588,2770,168,221,158,119,520,473,673,1057,1969
48310310,경상남도 거제시 일운면,7894,4023,3871,274,361,190,194,536,613,1151,1649,2926
48310320,경상남도 거제시 동부면,2887,1509,1378,27,70,42,27,139,147,266,554,1615
48310330,경상남도 거제시 남부면,1475,743,732,6,24,18,17,51,64,102,297,896
48310340,경상남도 거제시 거제면,6938,3444,3494,181,300,181,158,427,431,851,1278,3131
48310350,경상남도 거제시 둔덕면,2671,1375,1296,28,49,30,28,162,122,221,472,1559
48310360,경상남도 거제시 사등면,10985,5706,5279,556,892,367,245,660,1060,2108,1931,3166
48310366,경상남도 거제시 사등면가조출장소,1050,536,514,10,29,14,12,46,56,95,192,596
48310370,경상남도 거제시 연초면,8233,4535,3698,201,400,211,183,629,685,1304,1798,2822
48310380,경상남도 거제시 하청면,3184,1663,1521,51,127,66,68,198,179,371,593,1531
48310385,경상남도 거제시 하청면칠천출장소,1026,532,494,7,20,4,9,29,44,95,184,634
48310390,경상남도 거제시 장목면,2845,1459,1386,31,42,20,27,138,137,255,542,1653
48310395,경상남도 거제시 장목면외포출장소,1293,657,636,19,28,11,20,57,69,130,256,703
48310510,경상남도 거제시 장승포동,5344,2929,2415,104,290,165,157,546,419,880,1152,1631
48310530,경상남도 거제시 능포동,8582,4673,3909,199,376,265,228,721,638,1284,1950,2921
48310540,경상남도 거제시 아주동,25301,13667,11634,2021,2870,1149,857,2049,3700,6422,3693,2540
48310550,경상남도 거제시 옥포1동,6911,3685,3226,263,387,192,190,681,762,1276,1440,1720
48310560,경상남도 거제시 옥포2동,24304,12749,11555,999,1735,872,741,2170,2475,4581,5001,5730
48310570,경상남도 거제시 장평동,20070,11332,8738,867,1096,628,594,2338,2676,3969,4569,3333
48310580,경상남도 거제시 고현동,36143,18449,17694,1928,2733,1349,1246,3544,4420,6949,6898,7076
48310590,경상남도 거제시 상문동,33517,16936,16581,2726,3901,1661,1213,2645,4422,7998,5404,3547
48310600,경상남도 거제시 수양동,22369,11399,10970,1443,2704,1194,926,1860,2217,5343,3962,2720
48330253,경상남도 양산시 물금읍,118769,58642,60127,8880,10254,4270,3443,11964,17417,23376,18004,21161
48330310,경상남도 양산시 동면,49493,24984,24509,4425,3616,1200,925,3921,8671,9546,7015,10174
48330320,경상남도 양산시 원동면,3218,1654,1564,44,75,30,22,107,160,223,463,2094
48330330,경상남도 양산시 상북면,11758,6001,5757,225,361,205,229,873,881,1282,2357,5345
48330340,경상남도 양산시 하북면,7732,4019,3713,66,153,112,226,573,490,725,1605,3782
48330510,경상남도 양산시 중앙동,10627,5628,4999,219,278,152,156,1046,1077,1288,2123,4288
48330515,경상남도 양산시 양주동,30747,14795,15952,1054,1824,1102,1216,3760,2805,4740,6482,7764
48330520,경상남도 양산시 삼성동,20375,10783,9592,713,867,464,436,2268,2591,3085,4164,5787
48330530,경상남도 양산시 강서동,8452,4214,4238,289,477,299,294,907,801,1463,1626,2296
48330540,경상남도 양산시 서창동,27131,14141,12990,1095,1720,1049,867,2683,2600,4821,5352,6944
48330550,경상남도 양산시 소주동,20198,10065,10133,744,999,518,480,1805,1984,3208,4079,6381
48330560,경상남도 양산시 평산동,29148,14174,14974,1064,1759,932,857,2634,2428,4703,5439,9332
48330570,경상남도 양산시 덕계동,18045,8907,9138,1066,1085,464,427,1621,2197,2838,3332,5015
48720250,경상남도 의령군 의령읍,9004,4517,4487,400,482,245,246,768,772,1324,1681,3086
48720310,경상남도 의령군 가례면,1613,809,804,12,21,17,14,68,64,109,270,1038
